,roc_l1,roc_l2,roc_l3,roc_l4,sma_l1,sma_l2,sma_l3,sma_l4,Returns%,MaxR
275,8,12,20,27,8,10,10,16,47.39446906312534,
276,8,12,20,27,10,8,8,12,40.62719684838413,
277,8,12,20,27,10,8,8,14,41.32700765013752,
278,8,12,20,27,10,8,8,16,43.179123993988895,
279,8,12,20,27,10,8,10,12,39.164491346972625,
280,8,12,20,27,10,8,10,14,38.53586399056789,
281,8,12,20,27,10,8,10,16,39.61618905804613,
282,8,12,20,27,10,10,8,12,41.22686313446172,
283,8,12,20,27,10,10,8,14,41.579062530085736,
284,8,12,20,27,10,10,8,16,47.76449216909123,
285,8,12,20,27,10,10,10,12,40.36476412867876,
286,8,12,20,27,10,10,10,14,39.66289402749891,
287,8,12,20,27,10,10,10,16,46.584296788231825,
288,8,12,20,29,8,8,8,12,43.537294040845296,
289,8,12,20,29,8,8,8,14,45.37730133558415,
290,8,12,20,29,8,8,8,16,46.583052526857216,
291,8,12,20,29,8,8,10,12,40.63117864711859,
292,8,12,20,29,8,8,10,14,42.89105098823268,
293,8,12,20,29,8,8,10,16,42.1173412977362,
294,8,12,20,29,8,10,8,12,41.34900226110548,
295,8,12,20,29,8,10,8,14,46.60522482523194,
296,8,12,20,29,8,10,8,16,46.57015475310578,
297,8,12,20,29,8,10,10,12,39.73608616893529,
298,8,12,20,29,8,10,10,14,44.6445076382866,
299,8,12,20,29,8,10,10,16,34.94820064742143,
300,8,12,20,29,10,8,8,12,42.43022343188966,
301,8,12,20,29,10,8,8,14,40.06538045926143,
302,8,12,20,29,10,8,8,16,44.62811697264442,
303,8,12,20,29,10,8,10,12,39.2787912993725,
304,8,12,20,29,10,8,10,14,36.66033493245345,
305,8,12,20,29,10,8,10,16,41.53146077980139,
306,8,12,20,29,10,10,8,12,41.78693495248197,
307,8,12,20,29,10,10,8,14,42.00801346321089,
308,8,12,20,29,10,10,8,16,44.6375528264972,
309,8,12,20,29,10,10,10,12,38.19523434337154,
310,8,12,20,29,10,10,10,14,40.43049982394797,
311,8,12,20,29,10,10,10,16,33.27118128538899,
312,8,12,20,31,8,8,8,12,41.255643051835875,
313,8,12,20,31,8,8,8,14,40.90424514930814,
314,8,12,20,31,8,8,8,16,45.721779097309366,
315,8,12,20,31,8,8,10,12,39.53846478064261,
316,8,12,20,31,8,8,10,14,41.14337252812149,
317,8,12,20,31,8,8,10,16,36.220698207452045,
318,8,12,20,31,8,10,8,12,44.47923565110901,
319,8,12,20,31,8,10,8,14,42.326688940265484,
320,8,12,20,31,8,10,8,16,37.09196102481792,
321,8,12,20,31,8,10,10,12,40.340714877713765,
322,8,12,20,31,8,10,10,14,34.460453514172315,
323,8,12,20,31,8,10,10,16,35.11433929255767,
324,8,12,20,31,10,8,8,12,39.59836441674685,
325,8,12,20,31,10,8,8,14,40.34990061649464,
326,8,12,20,31,10,8,8,16,42.776725980853,
327,8,12,20,31,10,8,10,12,35.477402177924006,
328,8,12,20,31,10,8,10,14,41.28702904474787,
329,8,12,20,31,10,8,10,16,34.71498239225596,
330,8,12,20,31,10,10,8,12,42.4088516784079,
331,8,12,20,31,10,10,8,14,41.35129120222314,
332,8,12,20,31,10,10,8,16,34.74346009591622,
333,8,12,20,31,10,10,10,12,37.98287437738824,
334,8,12,20,31,10,10,10,14,34.486695976994014,
335,8,12,20,31,10,10,10,16,36.09299404075489,
336,8,12,20,33,8,8,8,12,40.91920523460783,
337,8,12,20,33,8,8,8,14,41.53280261420892,
338,8,12,20,33,8,8,8,16,39.59789845548059,
339,8,12,20,33,8,8,10,12,42.13568450964024,
340,8,12,20,33,8,8,10,14,39.16892146787691,
341,8,12,20,33,8,8,10,16,36.14150012013948,
342,8,12,20,33,8,10,8,12,43.91137793288985,
343,8,12,20,33,8,10,8,14,40.43740637031661,
344,8,12,20,33,8,10,8,16,37.76708838233546,
345,8,12,20,33,8,10,10,12,36.87216669821572,
346,8,12,20,33,8,10,10,14,34.46807872094985,
347,8,12,20,33,8,10,10,16,35.07071939794653,
348,8,12,20,33,10,8,8,12,46.18240595860479,
349,8,12,20,33,10,8,8,14,42.05992173088654,
350,8,12,20,33,10,8,8,16,40.956573261309074,
351,8,12,20,33,10,8,10,12,42.19297037919378,
352,8,12,20,33,10,8,10,14,39.72501762817339,
353,8,12,20,33,10,8,10,16,34.37536241909558,
354,8,12,20,33,10,10,8,12,43.32865367629893,
355,8,12,20,33,10,10,8,14,39.71860144922633,
356,8,12,20,33,10,10,8,16,37.79739389343419,
357,8,12,20,33,10,10,10,12,34.900076040629784,
358,8,12,20,33,10,10,10,14,36.80023214448096,
359,8,12,20,33,10,10,10,16,33.13811884970852,
360,8,12,22,25,8,8,8,12,43.57796165655293,
361,8,12,22,25,8,8,8,14,44.54770736919309,
362,8,12,22,25,8,8,8,16,42.43668644678934,
363,8,12,22,25,8,8,10,12,41.6532840665341,
364,8,12,22,25,8,8,10,14,41.17194887845315,
365,8,12,22,25,8,8,10,16,40.27359909172455,
366,8,12,22,25,8,10,8,12,43.14635714101851,
367,8,12,22,25,8,10,8,14,40.45423743509008,
368,8,12,22,25,8,10,8,16,42.7296405943718,
369,8,12,22,25,8,10,10,12,38.73332711170971,
370,8,12,22,25,8,10,10,14,38.64989202056296,
371,8,12,22,25,8,10,10,16,43.544881796333016,
372,8,12,22,25,10,8,8,12,39.600470690482126,
373,8,12,22,25,10,8,8,14,37.84369309312737,
374,8,12,22,25,10,8,8,16,41.826017465521716,
375,8,12,22,25,10,8,10,12,37.75396440348351,
376,8,12,22,25,10,8,10,14,36.17661305192354,
377,8,12,22,25,10,8,10,16,42.11393180668304,
378,8,12,22,25,10,10,8,12,39.854949848822116,
379,8,12,22,25,10,10,8,14,39.133193064085646,
380,8,12,22,25,10,10,8,16,43.33059012953848,
381,8,12,22,25,10,10,10,12,37.14922491223851,
382,8,12,22,25,10,10,10,14,35.846711880282584,
383,8,12,22,25,10,10,10,16,39.516621173970265,
384,8,12,22,27,8,8,8,12,42.971409489467476,
385,8,12,22,27,8,8,8,14,43.38600016007146,
386,8,12,22,27,8,8,8,16,39.61412196099232,
387,8,12,22,27,8,8,10,12,37.792838341555495,
388,8,12,22,27,8,8,10,14,37.39088886843098,
389,8,12,22,27,8,8,10,16,38.61066855356691,
390,8,12,22,27,8,10,8,12,40.771679694651084,
391,8,12,22,27,8,10,8,14,43.37424167943905,
392,8,12,22,27,8,10,8,16,44.920902493718955,
393,8,12,22,27,8,10,10,12,37.561569441983465,
394,8,12,22,27,8,10,10,14,37.21672958924594,
395,8,12,22,27,8,10,10,16,42.2647360160432,
396,8,12,22,27,10,8,8,12,41.739025535568686,
397,8,12,22,27,10,8,8,14,43.6751363808161,
398,8,12,22,27,10,8,8,16,42.75955311646754,
399,8,12,22,27,10,8,10,12,37.561569441983465,
400,8,12,22,27,10,8,10,14,36.63570253279917,
401,8,12,22,27,10,8,10,16,37.89813921772452,
402,8,12,22,27,10,10,8,12,36.626121404555875,
403,8,12,22,27,10,10,8,14,37.50522441120626,
404,8,12,22,27,10,10,8,16,45.19450928280986,
405,8,12,22,27,10,10,10,12,35.070530690819766,
